,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Suburb-Encoded,CouncilArea_Banyule,CouncilArea_Bayside,CouncilArea_Boroondara,CouncilArea_Brimbank,CouncilArea_Cardinia,CouncilArea_Casey,CouncilArea_Darebin,CouncilArea_Frankston,CouncilArea_Glen Eira,CouncilArea_Greater Dandenong,CouncilArea_Hobsons Bay,CouncilArea_Hume,CouncilArea_Kingston,CouncilArea_Knox,CouncilArea_Macedon Ranges,CouncilArea_Manningham,CouncilArea_Maribyrnong,CouncilArea_Maroondah,CouncilArea_Melbourne,CouncilArea_Melton,CouncilArea_Monash,CouncilArea_Moonee Valley,CouncilArea_Moorabool,CouncilArea_Moreland,CouncilArea_Nillumbik,CouncilArea_Port Phillip,CouncilArea_Stonnington,CouncilArea_Unavailable,CouncilArea_Whitehorse,CouncilArea_Whittlesea,CouncilArea_Wyndham,CouncilArea_Yarra,CouncilArea_Yarra Ranges
0,Abbotsford,85 Turner St,-0.9814633698531323,h,0.6324480294931571,S,Biggin,3/12/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,-0.7723755222926781,-0.6337801554835224,-0.089315658271629,-0.048001429326883296,0.14262330140899648,0.12115958246204783,0.0306395828643404,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,Abbotsford,25 Bloomburg St,-0.9814633698531323,h,-0.06363975439906111,S,Biggin,4/02/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,-0.7723755222926781,-1.6726355140170808,-0.10084297135656849,-0.13488134291596862,-1.7354877854457456,0.01643684475344454,-0.017478177716459906,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,Abbotsford,5 Charles St,0.06487613105796312,h,0.6089843963282509,SP,Biggin,4/03/2017,-1.3014849810054607,-0.42241516658907846,0.08828423220821574,0.6733666682978894,-1.6726355140170808,-0.10635603413632215,-0.003637218132456759,-1.7354877854457456,-0.0012272314866126823,-0.007854625600245142,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,Abbotsford,40 Federation La,0.06487613105796312,h,-0.35302456343290467,PI,Biggin,4/03/2017,-1.3014849810054607,-0.42241516658907846,0.08828423220821574,0.6733666682978894,-0.6337801554835224,-0.11637978464496518,-0.048001429326883296,0.14262330140899648,0.15522601521060153,0.01620425469015501,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,Abbotsford,55a Park St,1.1112156319690585,h,0.8201570948124071,VB,Nelson,4/06/2016,-1.3014849810054607,-0.42241516658907846,0.08828423220821574,-0.7723755222926781,0.4050752030500361,-0.10986434681434722,-0.018425288530598938,1.32315027028912,0.025268882873383497,-0.010741691235191628,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,Abbotsford,129 Charles St,-0.9814633698531323,h,-0.21067852223247352,S,Jellis,7/05/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,-0.7723755222926781,-1.6726355140170808,-0.09457812728866659,-0.048001429326883296,0.14262330140899648,0.06438219454773188,0.0008065713040472768,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,Abbotsford,124 Yarra St,0.06487613105796312,h,1.2518879450466818,S,Nelson,7/05/2016,-1.3014849810054607,-0.42241516658907846,1.1236036392786544,0.6733666682978894,-1.6726355140170808,-0.07854012647483775,0.1072733098536096,-1.4671862016093538,0.08583142998202303,0.039300779768906335,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,Abbotsford,98 Charles St,-0.9814633698531323,h,0.876469814408182,S,Nelson,8/10/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,-0.7723755222926781,0.4050752030500361,-0.07578359508496092,-0.08312309652247098,-2.003789369282137,0.040409519650588206,0.001768926515696105,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,Abbotsford,6/241 Nicholson St,-2.0278028707642277,u,-1.2133577794794665,S,Biggin,8/10/2016,-1.3014849810054607,-0.42241516658907846,-1.9823545819326613,-0.7723755222926781,-0.6337801554835224,-0.1399355983402763,-0.048001429326883296,0.14262330140899648,0.10601894568484312,0.020053675536476807,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9,Abbotsford,10 Valiant St,-0.9814633698531323,h,0.03334326268255132,S,Biggin,8/10/2016,-1.3014849810054607,-0.42241516658907846,0.08828423220821574,-0.7723755222926781,0.4050752030500361,-0.08480497054273964,-0.1422753781150397,-1.7354877854457456,0.10349550622199061,0.03545135892231103,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,Abbotsford,411/8 Grosvenor St,-0.9814633698531323,u,-0.587660895081967,VB,Jellis,12/11/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,0.6733666682978894,-0.6337801554835224,-0.1399355983402763,-0.048001429326883296,0.14262330140899648,-0.022676466920903842,0.11051506542845797,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,Abbotsford,40 Nicholson St,0.06487613105796312,h,0.4290965420639698,VB,Nelson,12/11/2016,-1.3014849810054607,-0.42241516658907846,0.08828423220821574,0.6733666682978894,0.4050752030500361,-0.0863085331190361,0.07030313385825414,1.0816788448363674,0.008866526364797359,0.01139247863191087,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12,Abbotsford,123/56 Nicholson St,-0.9814633698531323,u,-0.5094487845322796,S,Biggin,12/11/2016,-1.3014849810054607,-0.42241516658907846,-0.9470351748622228,0.6733666682978894,-0.6337801554835224,-0.1399355983402763,-0.10715371091945201,1.1889994783709241,0.017698564484825968,0.012354833843559699,Northern Metropolitan,-0.7846248060811246,-1.719824827969119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
